книга,книга,книги,книге,книгу,книгой,книге
дом,дом,дома,дому,дом,домом,доме
друг,друг,друга,другу,друга,другом,друге
собака,собака,собаки,собаке,собаку,собакой,собаке
стол,стол,стола,столу,стол,столом,столе
компьютер,компьютер,компьютера,компьютеру,компьютер,компьютером,компьютере
кошка,кошка,кошки,кошке,кошку,кошкой,кошке
телефон,телефон,телефона,телефону,телефон,телефоном,телефоне
окно,окно,окна,окну,окно,окном,окне
школа,школа,школы,школе,школу,школой,школе
студент,студент,студента,студенту,студента,студентом,студенте
чашка,чашка,чашки,чашке,чашку,чашкой,чашке
город,город,города,городу,город,городом,городе
учитель,учитель,учителя,учителю,учителя,учителем,учителе
врач,врач,врача,врачу,врача,врачом,враче
